devicetype	brand	model	version	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	wlan24ghz	wlan50ghz	bluetooth	usbports	serial	powersupply
Emulator	VMware	VMware x86 virtual machine	2015 latest	x86	1	-	-	-	-	-	-	-	-	-	-	-
WiFi Router	Askey	RT4230W	REV6	Qualcomm Atheros IPQ8065	2	1700	512	1024	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 1.0 A
WiFi Router	AVM	FRITZ!Box 3390	NULL	Lantiq XWAY VRX288	2	500	128NAND	128	-	4	b/g/n	a/n	-	2x 2.0	Yes	12 VDC, 2.0 A
WiFi AP	COMFAST	CF-E538AC	NULL	MediaTek MT7620DA	1	580	8	64	-	2	b/g/n	a/n/ac	-	-	Yes	PoE (ethernet port - back)
Router	MikroTik	RBD52G-5HacD2HnD-TC (hAP ac-)	NULL	Qualcomm Atheros IPQ4018	4	716	16	128	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	-
Router	MikroTik	RB450Gx4	NULL	Qualcomm IPQ4019	4	716	512NAND	1024	-	5	-	-	-	-	Yes	10-57 VDC barrel jack, 0.8 A, PoE 802.3af/at
WiFi AP	MikroTik	RBcAPGi-5acD2nD (cAP ac)	NULL	Qualcomm Atheros IPQ4018	4	716	16	128	-	2	b/g/n	a/n/ac	-	-	Yes	PoE 802.3af/at
WiFi Router	NETGEAR	R6020	NULL	MediaTek MT7628A	1	580	8	64	5	-	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Xiaomi	Mi Router 4A (MIR4A)	Gigabit Edition	MediaTek MT7621	2	880	16	128	-	3	b/g/n	a/n/ac	-	-	Yes	12 Vdc
WiFi Router	Upvel	UR-337N4G	NULL	Ralink RT3352	1	400	16	64	5	-	b/g/n	-	-	1x 2.0	-	-
WiFi Router	3Com	3CRWER100-75	NULL	Atheros AR2315A	1	180	4	16	5	-	b/g	-	-	-	Yes	12 VDC, 1.25 A
WiFi Router	3Com	3CRWER100-75	NULL	Atheros AR2315A	1	180	4	16	5	-	b/g	-	-	-	Yes	12 VDC, 1.25 A
WiFi Router	4G Systems	AccessCube (MeshCube)	NULL	Alchemy 1500	1	400	32	64	-	-	-	-	-	1x 1.1 Device	Yes	-
Travel Router - Battery powered	7Links	PX-4885	NULL	Ralink RT5350	1	360	8	32	1	-	b/g/n	-	-	1x -USB (power)	Yes	5 VDC (-USB), 5200 mAh battery
Single Board Computer	8devices	Carambola 1	NULL	Ralink RT3050	1	320	8	32	2	-	b/g/n	-	-	Yes	Yes	3.3 VDC, 0.5 A
Single Board Computer	8devices	Carambola 2	NULL	Atheros AR9331	1	400	16	64	2	-	b/g/n	-	-	1x 2.0 Device	Yes	3.3 VDC, 0.2 A
Single Board Computer	Abicom International	Freedom CPE	Rev 05	Atheros AR5312	1	220	8	32	1	-	b/g	a	-	-	Yes	6 VDC, 1.2 A
Single Board Computer	Abicom International	Scorpion SC450	Rev 02	Qualcomm Atheros QCA9550	1	700	256NAND	256	-	1	-	a/n/ac	-	2x 2.0	Yes	12 VDC, PoE 802.3at
Modem	Actiontec	C1000A	1	Broadcom BCM63168	2	400	64	64	-	4	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
Router	Actiontec	GT701	D	Texas Instruments TNETD7200	1	150	4	16	1	-	-	-	-	-	Yes	-
WiFi Router	Actiontec	GT704WG	1A	Texas Instruments TNETD7300	1	150	4	16	4	-	b/g	-	-	-	Yes	12 VDC, 0.6 A
Modem	Actiontec	GT784WNV	5A	Broadcom BCM6328	1	320	16	64	4	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Actiontec	MI424WR	A	Intel IXP425	1	533	8	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 3.0 A
WiFi Router	Actiontec	MI424WR	C	Intel IXP425	1	533	8	32	5	-	b/g	-	-	-	Yes	5 VDC, 3.0 A
WiFi Router	Actiontec	MI424WR	D	Intel IXP420	1	533	8	32	5	-	b/g	-	-	-	Yes	5 VDC, 3.0 A
WiFi Router	Actiontec	MI424WR	I	Marvell 88F6560	1	1200	128NAND	128	-	5	b/g/n	-	-	2x 2.0	Yes	12 VDC, 1.8 A
Modem	ADB	P.DG A4001N	A-000-1A1-AE	-	-	-	-	32	4	-	b/g/n	-	-	1x 2.0	-	12 VDC, 1.0 A
WiFi Router	ADB	P.DG A4001N1	NULL	Broadcom BCM6328	1	320	16	32	4	-	b/g/n	-	-	1x 2.0	Yes	-
Modem	ADB	P.DG A4001N	A-000-1A1-AX	Broadcom BCM63281	1	320	16	32	4	-	b/g/n	-	-	1x 2.0	Yes	15v DC, 0.5A, centre positive
WiFi Router	ADB	AV4202N	NULL	Broadcom BCM6368	2	400	16	64	4	-	b/g/n	-	-	2x 2.0	Yes	-
WiFi Router	ADB	P.DG AV4202N	NULL	Broadcom BCM6368	2	400	16	64	4	-	b/g/n	-	-	2x 2.0	Yes	-
WiFi Router	Pirelli	AV4202N	NULL	Broadcom BCM6368	2	400	16	64	4	-	b/g/n	-	-	2x 2.0	Yes	-
WiFi Router	Pirelli	PRG AV4202N	NULL	Broadcom BCM6368	2	400	16	64	4	-	b/g/n	-	-	2x 2.0	Yes	-
WiFi Router	ADI Engineering	Pronghorn SBC250	NULL	Intel IXP425	1	533	16	64	2	-	b/g	a	-	-	Yes	5 VDC, 2.5 A, PoE 802.3af
WiFi AP	Aerohive	AP121	NULL	Atheros AR9344	1	560	128NAND	128	-	1	b/g/n	a/n	-	1x 2.0	Yes	PoE 802.3af (48V 0.35A) or 12V 1.1A DC
WiFi Router	Afoundry	EW1200	NULL	MediaTek MT7621A	2	880	16	128	1	5	b/g/n	a/n/ac	-	1x 3.0	Yes	-
NAS	Agestar	NSB3AS	NULL	Star STR8132	1	150	8	32	1	-	-	-	-	Yes	Yes	-
WiFi Router	Airlink101	AR625W	NULL	Marvell 88F5181	1	500	8	32	5	-	b/g/n	-	-	-	-	-
WiFi Router	Airlink101	AR670W	NULL	Ralink RT2880	1	266	4	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 2.0 A
WiFi Router	Airlink101	AR725W	NULL	Ralink RT2880	1	266	4	32	5	-	b/g/n	a/n	-	-	Yes	12 VDC, 1.0 A
WiFi Router	AirTies	WAV-281	v1	Lantiq Danube	2	333	4	32	4	-	b/g/n	-	-	1x 2.0	Yes	-
Modem	Alcatel-Sbell	RG100A-AA	Rev 0	Broadcom BCM6358	2	300	16	32	-	-	b/g	a	-	1x 2.0	Yes	-
WiFi AP	ALFA Network	Tube2H	NULL	Atheros AR9331	1	400	8	32	1	-	b/g/n	-	-	-	Yes	PoE 12-24 VDC
WiFi AP	ALFA Network	Tube2HP	NULL	Atheros AR9331	1	400	16	64	1	-	b/g/n	-	-	-	Yes	PoE 802.3af/at
WiFi AP	ALFA Network	Tube2HP-F	NULL	Atheros AR9331	1	400	16	64	1	-	b/g/n	-	-	-	No	POE
WiFi Router	ALFA Network	AP120C	NULL	Atheros AR9344	1	533	16	128	-	1	b/g/n	a/n	-	-	Yes	12 VDC, PoE 802.3af
WiFi Router	ALFA Network	AP121	NULL	Atheros AR9331	1	400	8	32	2	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A, PoE
Router	ALFA Network	AP96	NULL	Atheros AR7161	1	680	microSD	128	-	2	-	-	-	-	Yes	12 VDC, PoE 48 VDC
Travel Router	ALFA Network	Hornet-UB / AP121 / AP121U	NULL	Atheros AR9331	1	400	8	32	2	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A, PoE 5-18V
Travel Router	ALFA Network	Hornet-UB x2	NULL	Atheros AR9331	1	400	16	64	2	-	b/g/n	-	-	1x 2.0	Yes	-
WiFi AP	ALFA Network	N2	NULL	Atheros AR7240	1	400	8	32	2	-	b/g/n	-	-	-	-	PoE 12-24 VDC
WiFi Router	ALFA Network	N5	NULL	Atheros AR7240 rev 2	1	400	8	32	2	-	-	a/n	-	-	Yes	PoE 12-24 VDC
Single Board Computer	ALFA Network	W502U / R36	NULL	Ralink RT3050F	1	320	8	32	2	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi AP	ALLNET	ALL-WAP02860AC	NULL	Qualcomm Atheros QCA9558	1	720	16	128	-	1	b/g/n	a/n/ac	-	-	Yes	12 VDC, 2.0 A, PoE 802.3at
WiFi Router	Allnet	ALL0239-3G	NULL	Ralink RT3052F	1	384	8	32	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Allnet	ALL0256N	NULL	Ralink RT3050F	1	320	8	32	1	-	b/g/n	-	-	-	Yes	-
WiFi Router	Allnet	ALL0258N	NULL	Atheros AR7240 rev 2	1	350	8	32	1	-	b/g/n	-	-	-	-	-
WiFi Router	Allnet	ALL0305	NULL	Atheros AR7161	1	680	8	64	-	1	b/g	a	-	-	-	PoE 802.3af
WiFi Router	Alpha Networks	ASL-26555	NULL	Ralink RT3052F	1	384	8	32	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	ARC Flex	FreeStation 5	v1	Ralink RT3050F	1	320	8	32	2	-	b/g/n	a/n	-	2x 2.0	Yes	24 VDC, 0.7 A, non-standard 24V PoE
WiFi Router	Arcadyan / Astoria	AR7516 (Orange / EE Bright Box)	NULL	Broadcom BCM6328	1	320	8	64	4	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Arcadyan / Astoria	ARV4510PW	NULL	Lantiq XWAY Danube PSB 50702	2	333	16	32	4	-	b/g	-	-	2x 2.0	-	12 VDC, 2.0 A
